datetime_utc,temp_c,salinity_psu,wind_speed_ms,tidal_index,do_mg_l,do_anomaly_mg_l,hypoxic_flag
2018-01-01 00:00:00,26,34.97,3.99,0,5.98,-0.2168,0
2018-01-01 01:00:00,26.25,34.96,5.21,0.6098,5.57,-0.6325,0
2018-01-01 02:00:00,26.42,34.79,4.51,1.0902,6.02,-0.1795,0
2018-01-01 03:00:00,26.49,34.9,7.5,1.3427,6.83,0.6294,0
2018-01-01 04:00:00,26.44,35.11,4.5,1.3232,6.7,0.5027,0
2018-01-01 05:00:00,26.28,35.21,4.93,1.0515,6.67,0.4662,0
2018-01-01 06:00:00,26.05,35.04,3.04,0.6053,6.27,0.0653,0
2018-01-01 07:00:00,25.81,34.76,5.75,0.1009,6.85,0.653,0
2018-01-01 08:00:00,25.6,35.53,3.24,-0.3373,6.39,0.1925,0
2018-01-01 09:00:00,25.51,34.99,4.91,-0.6071,6.57,0.3709,0
2018-01-01 10:00:00,25.56,34.9,5.13,-0.6537,6.35,0.1509,0
2018-01-01 11:00:00,25.7,35.13,4.21,-0.4829,6.03,-0.1709,0
2018-01-01 12:00:00,25.94,34.89,4.49,-0.1585,5.92,-0.276,0
2018-01-01 13:00:00,26.21,34.95,5.98,0.2155,6.09,-0.1064,0
2018-01-01 14:00:00,26.43,35.64,5.35,0.5217,6.65,0.4466,0
2018-01-01 15:00:00,26.56,35.17,3.76,0.6607,6.73,0.5335,0
2018-01-01 16:00:00,26.55,35.29,5.93,0.5774,7.08,0.8804,0
2018-01-01 17:00:00,26.43,34.84,1.6,0.2758,6.92,0.7207,0
2018-01-01 18:00:00,26.24,34.8,9.62,-0.1805,7.12,0.9228,0
2018-01-01 19:00:00,25.99,34.65,3.02,-0.6838,6.47,0.2693,0
2018-01-01 20:00:00,25.77,35.05,2.29,-1.1088,6.36,0.1607,0
2018-01-01 21:00:00,25.62,35.22,1.37,-1.3439,5.97,-0.2311,0
2018-01-01 22:00:00,25.59,34.81,1.62,-1.3193,5.54,-0.6618,0
2018-01-01 23:00:00,25.68,34.97,2.01,-1.0255,5.88,-0.3231,0
2018-01-02 00:00:00,25.87,34.81,4.51,-0.5165,6.45,0.2487,0
2018-01-02 01:00:00,26.13,34.92,6.19,0.1024,6.99,0.7875,0
2018-01-02 02:00:00,26.38,34.51,6.73,0.6996,7.1,0.9046,0
2018-01-02 03:00:00,26.55,35.11,0.29,1.1489,6.98,0.7834,0
2018-01-02 04:00:00,26.61,34.91,9.58,1.359,7.13,0.9276,0
2018-01-02 05:00:00,26.55,34.83,3.6,1.2959,6.8,0.6033,0
2018-01-02 06:00:00,26.37,34.77,2.38,0.9894,6.77,0.571,0
2018-01-02 07:00:00,26.13,34.73,4.38,0.5253,6.67,0.471,0
2018-01-02 08:00:00,25.89,35.12,7.45,0.0229,6.71,0.5056,0
2018-01-02 09:00:00,25.71,34.84,5.45,-0.3945,5.97,-0.2278,0
2018-01-02 10:00:00,25.63,34.44,6.07,-0.631,5.9,-0.2986,0
2018-01-02 11:00:00,25.66,35.17,3,-0.641,5.84,-0.3557,0
2018-01-02 12:00:00,25.8,34.73,1.84,-0.4402,5.68,-0.518,0
2018-01-02 13:00:00,26.05,35.22,1.33,-0.1002,5.56,-0.6355,0
2018-01-02 14:00:00,26.29,34.86,4.74,0.2707,5.96,-0.2368,0
2018-01-02 15:00:00,26.49,34.8,5.66,0.5561,5.94,-0.2627,0
2018-01-02 16:00:00,26.6,34.78,5.22,0.662,6.41,0.2104,0
2018-01-02 17:00:00,26.59,35.26,7.44,0.5421,6.61,0.4134,0
2018-01-02 18:00:00,26.46,34.46,1.83,0.2104,5.6,-0.5953,0
2018-01-02 19:00:00,26.24,34.76,2.37,-0.2612,5.31,-0.8869,0
2018-01-02 20:00:00,26,34.87,0.73,-0.7601,5.45,-0.7493,0
2018-01-02 21:00:00,25.8,35.1,3,-1.1612,5.35,-0.845,0
2018-01-02 22:00:00,25.67,35.11,2.85,-1.3576,5.32,-0.8797,0
2018-01-02 23:00:00,25.66,34.81,8.94,-1.2887,6.3,0.099,0
2018-01-03 00:00:00,25.78,35.16,2.78,-0.9551,6.21,0.0107,0
2018-01-03 01:00:00,25.99,34.5,1.5,-0.4204,6.19,-0.0096,0
2018-01-03 02:00:00,26.25,35.16,2.61,0.2041,6.53,0.3287,0
2018-01-03 03:00:00,26.49,35,8.49,0.7856,7.22,1.0162,0
2018-01-03 04:00:00,26.65,34.62,6.96,1.2012,7.19,0.9869,0
2018-01-03 05:00:00,26.68,35.19,2.56,1.3681,6.84,0.64,0
2018-01-03 06:00:00,26.59,34.63,2.29,1.2622,6.43,0.2256,0
2018-01-03 07:00:00,26.4,34.83,4.99,0.9232,6.21,0.0089,0
2018-01-03 08:00:00,26.16,34.82,7.98,0.4441,6.54,0.3372,0
2018-01-03 09:00:00,25.91,35.38,2.76,-0.0529,6.46,0.2562,0
2018-01-03 10:00:00,25.74,35.08,4.28,-0.447,6.66,0.4554,0
2018-01-03 11:00:00,25.69,35.21,4.03,-0.649,6.55,0.3521,0
2018-01-03 12:00:00,25.77,35.04,4.16,-0.6229,6.45,0.2521,0
2018-01-03 13:00:00,25.94,34.9,0.45,-0.3939,6.25,0.0513,0
2018-01-03 14:00:00,26.19,34.39,3.99,-0.0411,5.92,-0.2816,0
2018-01-03 15:00:00,26.44,35.07,0.85,0.3238,5.25,-0.946,0
2018-01-03 16:00:00,26.62,34.77,2.45,0.5858,5.09,-1.108,0
2018-01-03 17:00:00,26.72,34.37,2.86,0.6574,5.32,-0.8818,0
2018-01-03 18:00:00,26.68,34.79,4.08,0.5013,5.67,-0.5255,0
2018-01-03 19:00:00,26.54,35.12,5.04,0.1414,5.98,-0.2202,0
2018-01-03 20:00:00,26.31,34.75,5.08,-0.3425,6.41,0.2137,0
2018-01-03 21:00:00,26.07,34.75,2.1,-0.8338,6.32,0.1227,0
2018-01-03 22:00:00,25.87,34.7,5.57,-1.2081,6.44,0.2446,0
2018-01-03 23:00:00,25.76,34.72,0.1,-1.3644,5.58,-0.6242,0
2018-01-04 00:00:00,25.77,34.74,5.09,-1.2511,5.99,-0.2053,0
2018-01-04 01:00:00,25.89,34.83,1.21,-0.8795,5.79,-0.4126,0
2018-01-04 02:00:00,26.1,35.04,3.77,-0.3219,5.96,-0.2435,0
2018-01-04 03:00:00,26.35,34.85,3.14,0.3048,6.24,0.0437,0
2018-01-04 04:00:00,26.58,35.23,7.2,0.8671,6.72,0.5179,0
2018-01-04 05:00:00,26.72,34.84,1.24,1.2471,5.91,-0.2875,0
2018-01-04 06:00:00,26.75,34.76,3.58,1.37,6.58,0.3834,0
2018-01-04 07:00:00,26.63,34.63,5.89,1.2222,7.02,0.8191,0
2018-01-04 08:00:00,26.43,35.26,7.29,0.8532,7.64,1.444,0
2018-01-04 09:00:00,26.19,34.85,4.56,0.3624,6.4,0.1974,0
2018-01-04 10:00:00,25.96,35.01,2.78,-0.1261,6.05,-0.1462,0
2018-01-04 11:00:00,25.81,34.94,5.09,-0.4946,5.91,-0.287,0
2018-01-04 12:00:00,25.78,35.12,3.99,-0.6612,6.57,0.3698,0
2018-01-04 13:00:00,25.88,35.05,6.61,-0.5995,6.89,0.6866,0
2018-01-04 14:00:00,26.06,35.09,5.11,-0.3443,6.99,0.7907,0
2018-01-04 15:00:00,26.3,35.28,6.69,0.0183,6.8,0.5968,0
2018-01-04 16:00:00,26.54,35.46,4.88,0.3741,6.93,0.7304,0
2018-01-04 17:00:00,26.72,35.02,5.47,0.6107,6.74,0.5444,0
2018-01-04 18:00:00,26.8,34.89,3.72,0.647,6.63,0.4256,0
2018-01-04 19:00:00,26.75,35.17,5.69,0.4553,6.78,0.582,0
2018-01-04 20:00:00,26.59,34.77,4.08,0.0692,6.33,0.1321,0
2018-01-04 21:00:00,26.36,35.18,1.11,-0.424,6.08,-0.1169,0
2018-01-04 22:00:00,26.12,34.95,9.44,-0.9043,6.74,0.543,0
2018-01-04 23:00:00,25.93,34.79,3.48,-1.2492,6.54,0.3405,0
2018-01-05 00:00:00,25.83,34.91,3.31,-1.3641,6.47,0.2731,0
2018-01-05 01:00:00,25.87,35.21,3.37,-1.2068,6.3,0.1002,0
2018-01-05 02:00:00,26,34.99,4.93,-0.7989,6.27,0.0728,0
2018-01-05 03:00:00,26.23,35.17,5.78,-0.2216,6.79,0.5875,0
2018-01-05 04:00:00,26.49,34.54,5.44,0.4038,7.22,1.0225,0
2018-01-05 05:00:00,26.73,35,4.56,0.9439,6.8,0.6046,0
2018-01-05 06:00:00,26.85,34.79,3.4,1.2861,6.42,0.216,0
2018-01-05 07:00:00,26.85,34.94,2.24,1.3648,6.32,0.1245,0
2018-01-05 08:00:00,26.73,34.89,5.12,1.1765,7.07,0.8698,0
2018-01-05 09:00:00,26.52,34.71,0.6,0.7799,6.16,-0.0364,0
2018-01-05 10:00:00,26.27,34.82,4.78,0.2806,5.93,-0.2656,0
2018-01-05 11:00:00,26.06,34.11,4.11,-0.1963,5.53,-0.6679,0
2018-01-05 12:00:00,25.92,34.68,5.04,-0.537,5.34,-0.8604,0
2018-01-05 13:00:00,25.91,35.04,1.5,-0.6674,5.02,-1.1825,0
2018-01-05 14:00:00,26.01,34.72,7.12,-0.5711,5.75,-0.4524,0
2018-01-05 15:00:00,26.21,35.24,6,-0.292,6.3,0.0998,0
2018-01-05 16:00:00,26.47,34.63,1.77,0.0776,6.35,0.1485,0
2018-01-05 17:00:00,26.7,34.77,4.19,0.4214,6.32,0.1189,0
2018-01-05 18:00:00,26.87,35,7.05,0.6303,6.5,0.2976,0
2018-01-05 19:00:00,26.93,34.54,3.53,0.6306,5.69,-0.5084,0
2018-01-05 20:00:00,26.84,35.02,3.5,0.4043,5.95,-0.2516,0
2018-01-05 21:00:00,26.67,34.92,3.93,-0.0057,5.83,-0.3721,0
2018-01-05 22:00:00,26.43,34.55,3.56,-0.505,5.48,-0.723,0
2018-01-05 23:00:00,26.18,34.72,6.23,-0.9712,5.85,-0.3538,0
2018-01-06 00:00:00,26,34.68,9.26,-1.2842,6.26,0.0551,0
2018-01-06 01:00:00,25.92,34.9,5.43,-1.3565,5.89,-0.3108,0
2018-01-06 02:00:00,25.99,34.31,2.39,-1.1558,6.15,-0.0486,0
2018-01-06 03:00:00,26.15,35.21,2.33,-0.7139,6.25,0.0465,0
2018-01-06 04:00:00,26.4,35.1,9.14,-0.12,6.5,0.3008,0
2018-01-06 05:00:00,26.65,34.7,6.06,0.5005,6.12,-0.0812,0
2018-01-06 06:00:00,26.86,35.06,6.54,1.0155,6.29,0.0889,0
2018-01-06 07:00:00,26.95,35.01,10.29,1.3183,6.97,0.7712,0
2018-01-06 08:00:00,26.94,34.52,5.86,1.3525,7.44,1.2376,0
2018-01-06 09:00:00,26.8,35.01,3.55,1.1251,7.1,0.8982,0
2018-01-06 10:00:00,26.59,34.82,3.02,0.7039,6.9,0.7027,0
2018-01-06 11:00:00,26.33,35.09,0.03,0.1993,6.81,0.6114,0
2018-01-06 12:00:00,26.12,35.3,5.99,-0.263,6.81,0.613,0
2018-01-06 13:00:00,25.99,34.86,3.57,-0.5739,6.75,0.5489,0
2018-01-06 14:00:00,25.98,34.74,1.87,-0.6678,6.86,0.6586,0
2018-01-06 15:00:00,26.11,34.59,6.36,-0.538,7.05,0.8535,0
2018-01-06 16:00:00,26.33,34.82,0.75,-0.2373,6.81,0.6147,0
2018-01-06 17:00:00,26.59,35.3,4.69,0.1361,7.3,1.1024,0
